rowid,kepid,tce_planet_num,tce_period,tce_time0bk,tce_duration,campaign,tce_depth,tce_impact,av_training_set
551,203719159,4,38.03133111,2078.353499,4.372839315,2,0.13871064,-0.0005, C
552,203720226,2,1.471495984,2062.161932,0.280203127,2,0.037125238,0.891904011, C
553,203720301,2,28.40811677,2088.160244,2.201722068,2,0.177792864,-0.008572322, C
554,203724283,2,37.02553576,2079.819108,7.392091944,2,0.437308651,1.111919769, C
555,203724328,2,0.149934942,2061.363922,0.25,2,0.066644868,0.961827727, C
556,203728604,2,36.3264282,2078.474332,19.55614058,2,0.328194947,0.247009774, C
557,203728604,3,36.18666492,2066.661233,5.696796366,2,0.209463404,-0.687491196, C
558,203728604,4,0.122661859,2061.336897,0.070653231,2,0.081717889,0.01, C
559,203728604,5,34.22481965,2079.278479,11.68881669,2,0.147673805,0.008798825, C
560,203728604,6,36.49713216,2078.990264,49.02984924,2,0.472945567,-1.193135334, C
561,203728604,7,22.56429359,2071.106603,1.296374795,2,0.089440397,-0.635537196, C
562,203728688,2,28.48074118,2087.219284,2.141431496,2,0.079868293,0.36340461, C
563,203728688,3,29.43473161,2087.233778,2.682965288,2,0.073098549,0.623011163, C
564,203730072,2,36.11108548,2078.476065,18.28800101,2,0.279051903,-0.46467592, C
565,203731143,2,32.50152427,2083.234359,6.043970689,2,0.071590939,0.002415435, C
566,203731143,3,32.85865525,2083.526612,4.138144225,2,0.083823269,0.005918178, C
